run_id	avg_score	cluster_coverage	best_strategy	verdict	note
run-20260329-065718	63.8	100.0	strategy-health-conscious	keep	baseline
run-20260329-070104	62.67	100.0	strategy-busy_professional	discard	exp1: concrete numbers + personalization
run-20260329-070426	55.17	100.0	strategy-busy_professional_upgrade	discard	exp2: deep empathy + pivot strengthening
run-20260329-070737	63.17	100.0	strategy-upgrade-existing-routine	discard	exp3: anti-abstract + immediate answers
run-20260329-071140	61.21	100.0	strategy-value_seeker	discard	exp4: daily scenario + cluster differentiation
run-20260329-071537	64.66	100.0	strategy-busy-professional	keep	exp5: strategy diversity enforcement
